S.No.,Coverage_Name,Perils,Rating_Factors_Algorithm,Rating_Factors_PC_worksheet,Rating_Factors_Expected
1,Coverage A,Liability,Base Rate,table:BaseRate.Liability,BaseRate
2,Coverage A,Liability,Territory Relativities,table:Territory Relativities.Liability,TerrRel
3,Coverage A,Liability,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
4,Coverage A,Liability,Distance to Coast,table:Distance To Coast.Liability,
5,Coverage A,Liability,Acreage,table:Acreage.Liability,Acres
6,Coverage A,Liability,Farm Type,table:Farm_Type.Liability,FarmType
7,Coverage A,Liability,Credit,table:Credit.Liability,Credit
8,Coverage A,Liability,Protection Class,table:Protection Class.Liability,PC
9,Coverage A,Liability,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
10,Coverage A,Liability,Construction Type,table:Construction Materials for All.Liability,Constr
11,Coverage A,Liability,Number of Families,table:Number Of Families.Liability,NumFam
12,Coverage A,Liability,TownRowhouse,table:TownRowHouse.Liability,TownRow
13,Coverage A,Liability,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
14,Coverage A,Liability,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,RPCSqFt
15,Coverage A,Liability,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
16,Coverage A,Liability,Garage Factor,table:Garage Factor.Liability,Garages
17,Coverage A,Liability,Dwelling Claims Factor,,DwellClaims
18,Coverage A,Liability,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
19,Coverage A,Liability,New Business Loss Experience Factor,,
20,Coverage A,Liability,Pool Liability,table:Pool.Liability,Pool
21,Coverage A,Liability,Trampoline Liability,table:Trampoline.Liability,Trampoline
22,Coverage A,Liability,Perils Factor,table:Perils.Liability,Perils
23,Coverage A,Liability,Age of Dwelling,table:Dwelling_Age.Liability,AOD
24,Coverage A,Liability,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
25,Coverage A,Liability,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
26,Coverage A,Liability,Roof Shape,table:RoofShape.Liability,RoofShape
27,Coverage A,Liability,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
28,Coverage A,Liability,Utility Update ,table:Utility.Liability,UtilElec
29,Coverage A,Liability,Utility Update ,table:Utility.Liability,UtilHeat
30,Coverage A,Liability,Utility Update ,table:Utility.Liability,UtilPlumb
31,Coverage A,Liability,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
32,Coverage A,Liability,Fortified,table:Fortified.Liability,Fortified
33,Coverage A,Liability,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
34,Coverage A,Liability,Wind Mitigation,table:Wind Mitigation.Liability,
35,Coverage A,Liability,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
36,Coverage A,Liability,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
37,Coverage A,Liability,Brushfire,table:Brushfire.Liability,
38,Coverage A,Liability,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
39,Coverage A,Liability,Foundation Type,table:FoundationType.Liability,Foundation
40,Coverage A,Liability,ACV Roof,table:ACVRoof.Liability,ACVRoof
41,Coverage A,Liability,All Peril Deductible,table:All Perils Deductible.Liability,APDed
42,Coverage A,Liability,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
43,Coverage A,Liability,Occupancy,table:Occupancy.Liability,Occupancy
44,Coverage A,Liability,Employee Discount,table:EmployeeDiscount,EmployDisc
45,Coverage A,Liability,IRPM Factor,IFactor,
46,Coverage A,Liability,Fixed Expense,table:Fixed Expense.Liability,FixedExp
47,Coverage A,Liability,,TermAmount,CovAPrem
48,Coverage A,Hail,,TermAmount,CovAPrem
