Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s)
entity.FRMDwelling, , , , , , , , , , , , , , , 
Dwelling:(2), , , , , , , , , , , , , , , 
Coverage C - Personal Property - Fire, , , , , , , , , , , , , , , 
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , 
, Coverage_Fire (1), , , , , , , , , , , , , , 
, PolicySizeFactor, , , , , , , , , 1.0, ←, , 1, , 1
, ContentOnlyFactor, , , , , , , , , 1.0, ←, , 1, , 1
, RateFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0000000000, ←, , table:Acreage.Fire, , "(2, <<1,1>>, Cov A) = 1"
, RateFactor, , , , , , , , , 1.0000000000000000000000000000000000000000, ←, , table:Number Of Families.Fire, , "(2, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Fire, , "(2, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Pool.Fire, , "(2, false, false) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Fire, , "(2, false) = 1"
, PolicySizeFactor, , , , , , , , , 1.5210000000, ←, , table:PolicySizeRelativity.Fire, , "(2, 50000.0000, Cov A) = 1.521"
, ContentOnlyFactor, , , , , , , , , 1.00000000000, ←, , ContentOnlyFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Utility.Fire, , "(2, null, <<20,20>>, <<2,2>>) = 1"
, IFactor, , , , , , , , , 0.0, ←, , 0, , 0
, JFactor, , , , , , , , , 0.0, ←, , 0, , 0
, KFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MFactor, , , , , , , , , 0.0, ←, , 0, , 0
, NFactor, , , , , , , , , 0.0, ←, , 0, , 0
, OFactor, , , , , , , , , 0.0, ←, , 0, , 0
, QFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartCameraFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartLightFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartSmokeAlarmFactor, , , , , , , , , 0.0, ←, , 0, , 0
, WaterLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GasLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GeneratorFactor, , , , , , , , , 0.0, ←, , 0, , 0
, ADFactor, , , , , , , , , 0.0, ←, , 0, , 0
, AutTempDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CRFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MaxCreditPerPeril, , , , , , , , , 0.2000000000, ←, , table:ProtectiveDevices.Fire, , "(2, Max, Cov A) = 0.2"
, AllDiscount, , , , , , , , , 0.0, ←, , IFactor, , 0
, , CONTINUE, , , , , , , , , +, , JFactor, , 0
, , CONTINUE, , , , , , , , , +, , KFactor, , 0
, , CONTINUE, , , , , , , , , +, , MFactor, , 0
, , CONTINUE, , , , , , , , , +, , NFactor, , 0
, , CONTINUE, , , , , , , , , +, , OFactor, , 0
, , CONTINUE, , , , , , , , , +, , QFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, , 0
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, , 0
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , ADFactor, , 0
, , CONTINUE, , , , , , , , , +, , CFactor, , 0
, , CONTINUE, , , , , , , , , +, , CRFactor, , 0
, FinalFactor, , , , , , , , , 1.0, ←, , 1, , 1
, , CONTINUE, , , , , , , , , −, , "min(AllDiscount, MaxCreditPerPeril)", , "min(0, 0.2) = 0"
, BaseRate, , , , , , , , , 47.73662916949017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Fire, , "(2, Cov A) = 57.54"
, , CONTINUE, , , , , , , , , ×, , ContentOnlyFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Fire, , "(2, Cov A, 46544) = 1.15"
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Fire, , (false) = 1
, , CONTINUE, , , , , , , , , ×, , table:RoofShape.Fire, , "(2, null, true) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Fire, , "(46544, <<999.990,999.990>>) = 1"
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Fire, , "(2, Poultry, Cov A) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Credit.Fire, , "(2, <<774,774>>, Cov A) = 0.833"
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Fire, , "(2, 8, Cov A) = 0.587"
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Fire, , "(2, Within5miles, Cov A) = 1"
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Fire, , "(2, Cov A, true) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Farming Claims Factor.Fire, , "(2, <<1000,1000>>, Cov A, 0, 0, 0, 0, 0, 0, 0, 0) = 1"
, , CONTINUE, , , , , , , , , ×, , RateFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Construction Materials for All.Fire, , "(2, Cov A, Frame-Vinyl) = 0.97"
, , CONTINUE, , , , , , , , , ×, , table:Dwelling_Age.Fire, , "(2, false, <<2,2>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Dwelling Year Built Factor.Fire, , "(2, false, 1, <<2017,2017>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:AoR.Fire, , "(2, Cov A, 1, null, <<0,0>>, true, false) = 1"
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Fire, , "(2, false, false, false, false, false, false) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Fortified.Fire, , "(2, None) = 1"
, , CONTINUE, , , , , , , , , ×, , FinalFactor, , 1
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, , 1.521
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, , 1
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Fire, , "(2, <<0,0>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Fire, , "(2, Cov A, false, false, false, false) = 1"
, , CONTINUE, , , , , , , , , ×, , table:FoundationType.Fire, , "(2, FullBasement) = 1"
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Fire, , "(2, Cov A, 2.5, <<50000,50000>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Fire, , "(2, false, Cov A, 2.5, <<50000,50000>>, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Occupancy.Fire, , (Tenant Occupied) = 1
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Fire, , "(2, false, Cov A, <<0,0>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 2) = 1"
, BaseRate, , , , , , , , , 47.7366000, ←, , CostData.BaseRate, , 47.7366
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Fire, , "(2, Cov A) = 0"
, AdjustedRate, , , , , , , , , 47.7366, ←, , CostData.BaseRate, , 47.7366
, TermAmount, , , , , , , , , 47.74, ←, , CostData.BaseRate, , 47.7366
, , CONTINUE, , , , , , , , , R, , .01, , 47.74
Coverage C - Personal Property - Liability, , , , , , , , , , , , , , , 
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , 
, Coverage_Liaiblity (1), , , , , , , , , , , , , , 
, PolicySizeFactor, , , , , , , , , 1.0, ←, , 1, , 1
, ContentOnlyFactor, , , , , , , , , 1.0, ←, , 1, , 1
, RateFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0, ←, , 1, , 1
, AcreageFactor, , , , , , , , , 1.0000000000, ←, , table:Acreage.Liability, , "(2, <<1,1>>, Cov A) = 1"
, RateFactor, , , , , , , , , 1.0000000000000000000000000000000000000000, ←, , table:Number Of Families.Liability, , "(2, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Liability, , "(2, 1) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Pool.Liability, , "(2, false, false) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Liability, , "(2, false) = 1"
, PolicySizeFactor, , , , , , , , , 1.1000000000, ←, , table:PolicySizeRelativity.Liability, , "(2, 50000.0000, Cov A) = 1.1"
, ContentOnlyFactor, , , , , , , , , 1.00000000000, ←, , ContentOnlyFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Utility.Liability, , "(2, null, <<20,20>>, <<2,2>>) = 1"
, IFactor, , , , , , , , , 0.0, ←, , 0, , 0
, OFactor, , , , , , , , , 0.0, ←, , 0, , 0
, ADFactor, , , , , , , , , 0.0, ←, , 0, , 0
, NFactor, , , , , , , , , 0.0, ←, , 0, , 0
, QFactor, , , , , , , , , 0.0, ←, , 0, , 0
, JFactor, , , , , , , , , 0.0, ←, , 0, , 0
, KFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartCameraFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartSmokeAlarmFactor, , , , , , , , , 0.0, ←, , 0, , 0
, SmartLightFactor, , , , , , , , , 0.0, ←, , 0, , 0
, AutTempDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, WaterLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GasLeakgDetFactor, , , , , , , , , 0.0, ←, , 0, , 0
, GeneratorFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CFactor, , , , , , , , , 0.0, ←, , 0, , 0
, CRFactor, , , , , , , , , 0.0, ←, , 0, , 0
, MaxCreditPerPeril, , , , , , , , , 0.2000000000, ←, , table:ProtectiveDevices.Liability, , "(2, Max, Cov A) = 0.2"
, AllDiscount, , , , , , , , , 0.0, ←, , IFactor, , 0
, , CONTINUE, , , , , , , , , +, , JFactor, , 0
, , CONTINUE, , , , , , , , , +, , KFactor, , 0
, , CONTINUE, , , , , , , , , +, , MFactor, , 0
, , CONTINUE, , , , , , , , , +, , NFactor, , 0
, , CONTINUE, , , , , , , , , +, , OFactor, , 0
, , CONTINUE, , , , , , , , , +, , QFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, , 0
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, , 0
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, , 0
, , CONTINUE, , , , , , , , , +, , ADFactor, , 0
, , CONTINUE, , , , , , , , , +, , CFactor, , 0
, , CONTINUE, , , , , , , , , +, , CRFactor, , 0
, FinalFactor, , , , , , , , , 1.0, ←, , 1, , 1
, , CONTINUE, , , , , , , , , −, , "min(AllDiscount, MaxCreditPerPeril)", , "min(0, 0.2) = 0"
, BaseRate, , , , , , , , , 5.22362429338750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Liability, , "(2, Cov A) = 4.87"
, , CONTINUE, , , , , , , , , ×, , ContentOnlyFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Liability, , "(2, Cov A, 46544) = 1.175"
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Liability, , (false) = 1
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Liability, , "(46544, <<999.990,999.990>>) = 1"
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, , 1
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Liability, , "(2, Poultry, Cov A) = 1.15"
, , CONTINUE, , , , , , , , , ×, , table:Credit.Liability, , "(2, <<774,774>>, Cov A) = 0.793"
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Liability, , "(2, 8, Cov A) = 0.91"
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Liability, , "(2, Within5miles, Cov A) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Construction Materials for All.Liability, , "(2, Cov A, Frame-Vinyl) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Farming Claims Factor.Liability, , "(2, <<1000,1000>>, Cov A, 0, 0, 0, 0, 0, 0, 0, 0) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Dwelling_Age.Liability, , "(2, false, <<2,2>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:Dwelling Year Built Factor.Liability, , "(2, false, 1, <<2017,2017>>) = 1"
, , CONTINUE, , , , , , , , , ×, , table:AoR.Liability, , "(2, Cov A, 1, null, <<0,0>>, true, false) = 1"
, , CONTINUE, , , , , , , , , ×, , table:RoofShape.Liability, , "(2, null, true) = 1"
