Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s),,,,,,,,,,,
entity.FRMDwelling, , , , , , , , , , , , , , , ,,,,,,,,,,,
Dwelling:(1), , , , , , , , , , , , , , , ,,,,,,,,,,,
Coverage A - Dwelling - Other, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Coverage_Other (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RateFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, , table:Acreage.Other, ," ""(1", <<57,57>>," Cov A) = 1""",,,,,,,,
, RateFactor, , , , , , , , ,1, ?, , table:Number Of Families.Other, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Other, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Pool.Other, ," ""(1", false," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Other, ," ""(1"," false) = 1""",,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.8900104, ?, , table:PolicySizeRelativity.Other, ," ""(1",220718," Cov A) = 0.8900104""",,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1, ?, , table:Sq Feet Stories.Other, ," ""(<<1500",1500>>, Cov A," 2) = 1""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Repl Cost Sq Ft.Other, ," ""(<<147","147>>) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Bathrooms.Other, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Garage Factor.Other, , (Attached-1) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Perils.Other, ," ""(1", Special," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Other, ," ""(1", Heating, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Other, ," ""(1", Plumbing, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Other, ," ""(1", Electrical, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Mitigation.Other, ," ""(GableSteepPitch", null, <<2010,2010>>," Madison) = 1""",,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Other, ," ""(1", Max," Cov A) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
