Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s)
Line-level, , , , , , , , , , , , , , , 
Scheduled Farm Personal Property ( Poultry ) -Liability, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Liability (1), , , , , , , , , , , , , , , 
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
PolicySizeFactor, , , , , , , , , , 0.9520000000, ←, , table:PolicySizeRelativity.Liability, , "(1, 2145, Cov F) = 0.952"
AcreageFactor, , , , , , , , , , 2.6270000000, ←, , table:Acreage.Liability, , "(1, <<1520,1520>>, Cov F) = 2.627"
BaseRate, , , , , , , , , , 37.8244190396972099200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Liability, , "(1, Cov F) = 14.42"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Liability, , "(1, Cov F, 47527) = 0.982"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Liability, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 2.627
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Liability, , "(1, Dairy, Cov F) = 1.1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Liability, , "(1, Poultry) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Liability, , "(1, <<998,998>>, Cov F) = 1.067"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Liability, , "(1, 8, Cov F) = 0.91"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Liability, , "(1, null, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Liability, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.952
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Liability, , "(1, Cov F, 1000, <<2145,2145>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 37.82440000000, ←, , CostData.BaseRate, , 37.8244
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 37.8244000, ←, , CostData.BaseRate, , 37.8244
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Liability, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 37.8244, ←, , CostData.BaseRate, , 37.8244
TermAmount, , , , , , , , , , 37.82, ←, , CostData.BaseRate, , 37.8244
, CONTINUE, , , , , , , , , , R, , .01, , 37.82
Scheduled Farm Personal Property ( Unregistered Farm Motor Vehicle ) -Hurricane, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Hurricane (1), , , , , , , , , , , , , , , 
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Hurricane, , "(1, <<1520,1520>>, Cov F) = 1"
PolicySizeFactor, , , , , , , , , , 0.0854400000, ←, , table:PolicySizeRelativity.Hurricane, , "(1, 8544, Cov F) = 0.08544"
BaseRate, , , , , , , , , , 0.2122597027200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Hurricane, , "(1, Cov F) = 2.36"
